,brand_ad,brand,advertiser,keys,values
,Toyota_한국토요타프리우스C,Toyota,한국토요타프리우스C,PRIOUS,"프리우스C, 도요타프리우스C, 토요타프리우스C"
,Toyota_한국토요타GR수프라,Toyota,한국토요타GR수프라,GR_SUPRA,"GR수프라, GRSUPRA"
,한불모터스,,한불모터스,,
,Citroen_한불모터스시트로엥,Citroen,한불모터스시트로엥,,"시트로앵, CITROEN"
,한불모터스DS7크로스백,,한불모터스DS7크로스백,,"DS7크로스백, DS7"
,Honda_혼다코리아,Honda,혼다코리아,Honda,"Honda,혼다"
,BMW_BMW코리아,BMW,BMW코리아,BMW,"BMW,비엠더블유"
,BMW_BMW3시리즈,BMW,BMW3시리즈,3Series,"3시리즈, 320i, 320d,330i,330e,3시리즈투어링,3SeriseTouring,328i"
,BMW_BMW6시리즈그란투리스모,BMW,BMW6시리즈그란투리스모,6Series,"6Series,6시리즈,620d xDrive,630i xDrive,630d xDrive"
,MINI_BMW미니컨버터블,MINI,BMW미니컨버터블,MINI_CONVERTIBLE,"MINICONVERTIBLE,미니컨버터블,미니컨버터블s,MINICONVERTIBLES"
,MINI_BMW미니컨트리맨,MINI,BMW미니컨트리맨,COUNTRYMAN,"COUNTRYMAN,컨트리맨,컨트리맨SD,컨트리맨D,컨트리맨S,컨트리맨SE"
,MINI_BMW미니쿠퍼,MINI,BMW미니쿠퍼,MINI,"쿠퍼,쿠퍼S,쿠퍼D,쿠퍼SD,쿠퍼SE"
,MINI_BMW미니클럽맨,MINI,BMW미니클럽맨,CLUBMAN,"clubman,클럽맨,clubmans,클럽맨S,clubmanD,클럽맨D"
,MINI_BMW미니JCW클럽맨&컨트리맨,MINI,BMW미니JCW클럽맨&컨트리맨,JCW,"컨트리맨JCW,미니JCW"
,BMW_BMW코리아5시리즈,BMW,BMW코리아5시리즈,5Series,"5시리즈,5Series,520i,523D,523DXDRIVE,530I,530IXDRIVE,540IXDRIVE,M550IXDRIVE"
