구분,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,Total,area,sales_type,age,year
Lexus,30,41,42,50,40,62,39,48,39,33,37,46,507,서울,개인-남자,40~49,2016
MINI,9,15,15,20,18,10,24,17,21,12,14,29,204,서울,개인-남자,40~49,2016
Mercedes-Benz,186,132,183,150,139,220,138,128,123,90,138,85,"1,712",서울,개인-남자,40~49,2016
Nissan,17,14,24,14,17,16,18,19,19,11,15,18,202,서울,개인-남자,40~49,2016
Peugeot,0,6,9,10,10,4,9,7,11,4,7,8,85,서울,개인-남자,40~49,2016
Porsche,9,5,10,3,11,3,3,3,8,4,5,12,76,서울,개인-남자,40~49,2016
Toyota,43,34,39,34,47,37,45,66,41,50,76,38,550,서울,개인-남자,40~49,2016
Volvo,22,27,28,28,40,32,29,29,14,19,24,6,298,서울,개인-남자,40~49,2016
Audi,9,4,0,0,0,0,0,0,0,0,0,0,13,서울,개인-남자,50~59,2016
BMW,31,45,73,75,62,50,29,57,51,46,66,105,690,서울,개인-남자,50~59,2016
Bentley,0,0,0,0,1,0,1,0,0,0,1,1,4,서울,개인-남자,50~59,2016
Cadillac,2,3,2,1,5,5,0,1,4,1,3,4,31,서울,개인-남자,50~59,2016
Chrysler,7,14,8,7,16,10,13,7,14,7,10,14,127,서울,개인-남자,50~59,2016
Citroen,1,2,1,0,1,1,1,1,1,1,0,0,10,서울,개인-남자,50~59,2016
Fiat,0,9,5,0,0,0,0,0,0,0,0,0,14,서울,개인-남자,50~59,2016
Ford,17,16,18,13,16,26,25,8,17,14,8,16,194,서울,개인-남자,50~59,2016
Honda,16,7,10,17,29,36,27,10,21,29,12,12,226,서울,개인-남자,50~59,2016
Infiniti,2,3,3,6,8,8,3,3,5,2,2,3,48,서울,개인-남자,50~59,2016
Jaguar,2,5,11,1,2,7,3,1,6,2,3,5,48,서울,개인-남자,50~59,2016
Lamborghini,1,0,0,0,0,0,0,0,0,0,0,0,1,서울,개인-남자,50~59,2016
Land Rover,10,17,21,10,4,19,13,13,19,18,15,21,180,서울,개인-남자,50~59,2016
Lexus,24,25,35,26,28,36,36,28,31,32,38,45,384,서울,개인-남자,50~59,2016
MINI,5,6,7,6,10,10,6,7,12,6,8,6,89,서울,개인-남자,50~59,2016
Mercedes-Benz,121,92,118,94,97,134,91,113,109,60,99,51,"1,179",서울,개인-남자,50~59,2016
Nissan,10,5,12,5,11,7,14,7,8,7,10,10,106,서울,개인-남자,50~59,2016
Peugeot,1,6,6,3,3,3,2,3,4,1,2,0,34,서울,개인-남자,50~59,2016
Porsche,4,5,5,7,7,7,2,1,8,5,2,11,64,서울,개인-남자,50~59,2016
Rolls-Royce,0,0,0,1,0,0,0,1,0,0,0,0,2,서울,개인-남자,50~59,2016
Toyota,22,25,23,17,18,20,24,30,17,34,27,29,286,서울,개인-남자,50~59,2016
Volvo,6,12,10,18,10,17,18,4,4,11,9,4,123,서울,개인-남자,50~59,2016
Audi,6,0,1,0,1,0,0,0,0,0,0,0,8,서울,개인-남자,60~69,2016
BMW,15,18,31,31,33,28,14,15,31,26,29,36,307,서울,개인-남자,60~69,2016
Bentley,0,0,0,0,1,0,0,0,0,0,0,1,2,서울,개인-남자,60~69,2016
Cadillac,0,4,1,1,1,5,3,0,2,1,2,1,21,서울,개인-남자,60~69,2016
Chrysler,3,2,0,6,6,2,2,1,0,2,3,2,29,서울,개인-남자,60~69,2016
Citroen,0,0,0,0,0,0,1,0,0,0,0,1,2,서울,개인-남자,60~69,2016
Fiat,0,0,1,0,0,0,0,0,0,0,0,0,1,서울,개인-남자,60~69,2016
Ford,11,9,8,7,5,7,4,7,10,5,7,12,92,서울,개인-남자,60~69,2016
Honda,8,5,6,7,16,19,15,7,7,11,12,5,118,서울,개인-남자,60~69,2016
Infiniti,0,1,1,5,1,4,0,2,1,2,0,0,17,서울,개인-남자,60~69,2016
Jaguar,0,2,4,0,1,2,2,0,3,0,0,2,16,서울,개인-남자,60~69,2016
Land Rover,5,8,10,2,3,10,6,6,5,6,8,11,80,서울,개인-남자,60~69,2016
Lexus,8,14,26,15,11,18,14,26,15,9,21,21,198,서울,개인-남자,60~69,2016
MINI,2,2,3,3,7,5,0,0,4,0,1,1,28,서울,개인-남자,60~69,2016
Mercedes-Benz,91,73,68,61,51,75,45,48,55,44,61,39,711,서울,개인-남자,60~69,2016
Nissan,4,0,3,2,4,5,4,4,3,1,4,5,39,서울,개인-남자,60~69,2016
Peugeot,0,1,0,1,0,1,3,1,0,0,0,2,9,서울,개인-남자,60~69,2016
Porsche,3,2,2,1,1,2,0,2,0,2,2,5,22,서울,개인-남자,60~69,2016
Toyota,11,3,7,5,11,9,13,14,7,11,18,11,120,서울,개인-남자,60~69,2016
Volvo,7,5,8,2,8,8,6,3,2,7,13,2,71,서울,개인-남자,60~69,2016
Audi,1,2,0,0,0,0,0,0,0,0,0,0,3,서울,개인-남자,70~,2016
BMW,5,3,9,4,8,8,4,6,5,8,6,9,75,서울,개인-남자,70~,2016
Cadillac,0,0,0,0,1,0,1,0,1,0,2,0,5,서울,개인-남자,70~,2016
Chrysler,0,0,1,1,0,0,0,2,2,0,1,0,7,서울,개인-남자,70~,2016
Citroen,0,0,0,0,0,0,0,1,0,0,0,0,1,서울,개인-남자,70~,2016
Fiat,0,0,1,0,0,0,0,0,0,0,0,0,1,서울,개인-남자,70~,2016
Ford,7,2,4,3,1,1,4,5,2,1,3,0,33,서울,개인-남자,70~,2016
Honda,2,1,1,0,1,7,1,2,1,4,2,1,23,서울,개인-남자,70~,2016
Infiniti,0,0,0,2,1,0,0,0,1,0,0,1,5,서울,개인-남자,70~,2016
Jaguar,0,1,2,1,0,0,0,1,0,0,0,0,5,서울,개인-남자,70~,2016
Land Rover,0,2,0,2,1,0,2,1,2,1,3,4,18,서울,개인-남자,70~,2016
Lexus,5,3,11,4,4,3,3,6,1,4,4,5,53,서울,개인-남자,70~,2016
MINI,0,0,0,1,0,0,1,0,1,2,2,0,7,서울,개인-남자,70~,2016
Mercedes-Benz,30,21,33,20,24,43,16,14,17,21,37,4,280,서울,개인-남자,70~,2016
Nissan,1,0,1,1,0,1,0,0,1,0,0,1,6,서울,개인-남자,70~,2016
Peugeot,0,1,0,0,2,0,1,1,0,0,0,1,6,서울,개인-남자,70~,2016
Porsche,0,0,1,1,0,1,0,0,0,0,0,1,4,서울,개인-남자,70~,2016
Toyota,1,2,4,0,3,8,4,3,1,4,8,4,42,서울,개인-남자,70~,2016
Volvo,0,0,2,1,0,2,0,1,2,3,4,0,15,서울,개인-남자,70~,2016
MINI,0,0,0,0,0,0,0,0,1,0,0,0,1,서울,개인-여자,~19,2016
Volvo,0,0,1,0,0,0,0,0,0,0,0,0,1,서울,개인-여자,~19,2016
BMW,3,9,14,22,21,18,9,14,9,19,12,21,171,서울,개인-여자,20~29,2016
Chrysler,0,3,1,0,2,2,3,2,5,3,2,5,28,서울,개인-여자,20~29,2016
Citroen,1,1,0,0,0,1,2,0,1,0,0,0,6,서울,개인-여자,20~29,2016
Fiat,1,4,5,1,1,1,0,0,0,0,0,0,13,서울,개인-여자,20~29,2016
Ford,1,0,2,0,0,0,0,2,0,1,2,2,10,서울,개인-여자,20~29,2016
Honda,0,0,0,1,1,0,4,0,1,2,1,1,11,서울,개인-여자,20~29,2016
Infiniti,1,0,0,0,0,0,0,0,1,1,0,0,3,서울,개인-여자,20~29,2016
Jaguar,0,0,1,0,0,1,0,0,0,0,0,0,2,서울,개인-여자,20~29,2016
Land Rover,2,3,0,1,5,8,1,2,4,1,2,1,30,서울,개인-여자,20~29,2016
Lexus,1,1,1,0,0,2,0,3,2,2,5,2,19,서울,개인-여자,20~29,2016
MINI,14,11,7,10,15,20,14,8,13,13,20,26,171,서울,개인-여자,20~29,2016
Mercedes-Benz,23,21,22,15,7,20,24,17,20,23,29,18,239,서울,개인-여자,20~29,2016
Nissan,3,0,0,0,3,1,1,1,0,1,0,0,10,서울,개인-여자,20~29,2016
Peugeot,0,2,4,1,0,2,0,2,1,2,2,0,16,서울,개인-여자,20~29,2016
Porsche,1,1,1,0,0,0,0,2,0,0,0,5,10,서울,개인-여자,20~29,2016
Toyota,3,1,2,1,2,2,2,3,4,7,4,7,38,서울,개인-여자,20~29,2016
Volvo,0,3,1,0,0,1,1,2,0,0,2,2,12,서울,개인-여자,20~29,2016
Audi,8,1,1,0,0,0,0,0,0,0,0,0,10,서울,개인-여자,30~39,2016
BMW,16,37,106,123,90,93,41,45,59,56,83,109,858,서울,개인-여자,30~39,2016
Cadillac,0,0,0,1,1,1,3,1,0,1,1,2,11,서울,개인-여자,30~39,2016
Chrysler,9,8,4,11,5,12,3,9,14,12,7,14,108,서울,개인-여자,30~39,2016
Citroen,2,1,2,3,0,3,0,4,2,1,2,0,20,서울,개인-여자,30~39,2016
Fiat,0,9,13,5,1,2,0,1,0,0,0,0,31,서울,개인-여자,30~39,2016
Ford,4,10,10,8,12,13,11,6,8,7,4,6,99,서울,개인-여자,30~39,2016
Honda,10,13,6,13,17,24,13,8,9,15,10,8,146,서울,개인-여자,30~39,2016
Infiniti,3,2,3,6,4,4,8,12,6,5,4,6,63,서울,개인-여자,30~39,2016
Jaguar,0,5,2,1,3,10,3,2,4,3,3,6,42,서울,개인-여자,30~39,2016
