구분,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,Total,area,sales_type,age
Lexus,5,3,11,4,4,3,3,6,1,4,4,5,53,서울,개인-남자,70~
MINI,0,0,0,1,0,0,1,0,1,2,2,0,7,서울,개인-남자,70~
Mercedes-Benz,30,21,33,20,24,43,16,14,17,21,37,4,280,서울,개인-남자,70~
Nissan,1,0,1,1,0,1,0,0,1,0,0,1,6,서울,개인-남자,70~
Peugeot,0,1,0,0,2,0,1,1,0,0,0,1,6,서울,개인-남자,70~
Porsche,0,0,1,1,0,1,0,0,0,0,0,1,4,서울,개인-남자,70~
Toyota,1,2,4,0,3,8,4,3,1,4,8,4,42,서울,개인-남자,70~
Volvo,0,0,2,1,0,2,0,1,2,3,4,0,15,서울,개인-남자,70~
MINI,0,0,0,0,0,0,0,0,1,0,0,0,1,서울,개인-여자,~19
Volvo,0,0,1,0,0,0,0,0,0,0,0,0,1,서울,개인-여자,~19
BMW,3,9,14,22,21,18,9,14,9,19,12,21,171,서울,개인-여자,20~29
Chrysler,0,3,1,0,2,2,3,2,5,3,2,5,28,서울,개인-여자,20~29
Citroen,1,1,0,0,0,1,2,0,1,0,0,0,6,서울,개인-여자,20~29
Fiat,1,4,5,1,1,1,0,0,0,0,0,0,13,서울,개인-여자,20~29
Ford,1,0,2,0,0,0,0,2,0,1,2,2,10,서울,개인-여자,20~29
Honda,0,0,0,1,1,0,4,0,1,2,1,1,11,서울,개인-여자,20~29
Infiniti,1,0,0,0,0,0,0,0,1,1,0,0,3,서울,개인-여자,20~29
Jaguar,0,0,1,0,0,1,0,0,0,0,0,0,2,서울,개인-여자,20~29
Land Rover,2,3,0,1,5,8,1,2,4,1,2,1,30,서울,개인-여자,20~29
Lexus,1,1,1,0,0,2,0,3,2,2,5,2,19,서울,개인-여자,20~29
MINI,14,11,7,10,15,20,14,8,13,13,20,26,171,서울,개인-여자,20~29
Mercedes-Benz,23,21,22,15,7,20,24,17,20,23,29,18,239,서울,개인-여자,20~29
Nissan,3,0,0,0,3,1,1,1,0,1,0,0,10,서울,개인-여자,20~29
Peugeot,0,2,4,1,0,2,0,2,1,2,2,0,16,서울,개인-여자,20~29
Porsche,1,1,1,0,0,0,0,2,0,0,0,5,10,서울,개인-여자,20~29
Toyota,3,1,2,1,2,2,2,3,4,7,4,7,38,서울,개인-여자,20~29
Volvo,0,3,1,0,0,1,1,2,0,0,2,2,12,서울,개인-여자,20~29
Audi,8,1,1,0,0,0,0,0,0,0,0,0,10,서울,개인-여자,30~39
BMW,16,37,106,123,90,93,41,45,59,56,83,109,858,서울,개인-여자,30~39
Cadillac,0,0,0,1,1,1,3,1,0,1,1,2,11,서울,개인-여자,30~39
Chrysler,9,8,4,11,5,12,3,9,14,12,7,14,108,서울,개인-여자,30~39
Citroen,2,1,2,3,0,3,0,4,2,1,2,0,20,서울,개인-여자,30~39
Fiat,0,9,13,5,1,2,0,1,0,0,0,0,31,서울,개인-여자,30~39
Ford,4,10,10,8,12,13,11,6,8,7,4,6,99,서울,개인-여자,30~39
Honda,10,13,6,13,17,24,13,8,9,15,10,8,146,서울,개인-여자,30~39
Infiniti,3,2,3,6,4,4,8,12,6,5,4,6,63,서울,개인-여자,30~39
Jaguar,0,5,2,1,3,10,3,2,4,3,3,6,42,서울,개인-여자,30~39
Land Rover,9,7,20,6,12,20,4,10,21,17,16,25,167,서울,개인-여자,30~39
Lexus,11,12,29,12,14,14,18,13,19,15,19,22,198,서울,개인-여자,30~39
MINI,21,31,31,31,57,38,33,42,43,30,35,57,449,서울,개인-여자,30~39
Mercedes-Benz,131,103,139,86,82,119,92,94,118,110,107,77,"1,258",서울,개인-여자,30~39
Nissan,5,8,8,5,9,5,8,7,7,7,7,4,80,서울,개인-여자,30~39
Peugeot,3,7,6,6,4,3,6,12,8,2,1,6,64,서울,개인-여자,30~39
Porsche,4,3,6,7,6,2,2,0,4,1,1,4,40,서울,개인-여자,30~39
Toyota,18,17,18,17,19,27,18,27,25,17,31,18,252,서울,개인-여자,30~39
Volvo,10,10,14,9,14,8,12,18,15,14,10,1,135,서울,개인-여자,30~39
Audi,9,1,0,0,0,0,0,0,0,0,1,0,11,서울,개인-여자,40~49
BMW,25,45,90,75,56,52,39,33,44,53,71,77,660,서울,개인-여자,40~49
Bentley,0,0,0,0,1,0,0,0,0,1,1,0,3,서울,개인-여자,40~49
Cadillac,1,2,0,1,4,2,0,0,1,0,0,3,14,서울,개인-여자,40~49
Chrysler,3,3,8,5,9,10,2,5,5,6,7,5,68,서울,개인-여자,40~49
Citroen,1,1,5,1,5,2,2,1,1,0,0,1,20,서울,개인-여자,40~49
Fiat,2,5,8,2,1,0,0,0,0,0,0,0,18,서울,개인-여자,40~49
Ford,7,4,9,8,11,11,10,10,16,6,5,8,105,서울,개인-여자,40~49
Honda,9,4,5,15,30,31,13,9,9,15,5,8,153,서울,개인-여자,40~49
Infiniti,2,3,1,5,2,7,10,6,8,4,3,7,58,서울,개인-여자,40~49
Jaguar,1,0,12,0,2,2,5,1,5,0,1,4,33,서울,개인-여자,40~49
