Brand,지역,유형,age,year,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,total
Audi,강원,개인-남자,30~39,2017,1,0,1,0,0,0,0,0,0,0,0,0,2
Audi,강원,개인-남자,30~39,2018,1,0,0,7,4,5,2,6,1,3,0,2,31
Audi,강원,개인-남자,30~39,2019,4,5,1,0,0,0,0,0,4,6,15,8,43
Audi,강원,개인-남자,30~39,2020,0,3,6,8,6,3,6,5,10,5,12,10,74
Audi,강원,개인-남자,30~39,2021,6,6,13,0,0,0,0,0,0,0,0,0,25
Audi,강원,개인-남자,40~49,2016,1,2,0,0,0,0,0,0,0,0,0,0,3
Audi,강원,개인-남자,40~49,2017,1,2,0,0,0,0,0,0,0,0,0,0,3
Audi,강원,개인-남자,40~49,2018,0,0,0,11,2,3,7,2,1,0,1,2,29
Audi,강원,개인-남자,40~49,2019,2,9,0,0,0,0,0,0,2,10,7,6,36
Audi,강원,개인-남자,40~49,2020,0,3,3,8,3,8,5,5,9,11,9,9,73
Audi,강원,개인-남자,40~49,2021,4,6,14,3,0,0,0,0,0,0,0,0,27
Audi,강원,개인-남자,50~59,2016,2,2,0,0,0,0,0,0,0,0,0,0,4
Audi,강원,개인-남자,50~59,2017,2,2,0,0,0,0,0,0,0,0,0,0,4
Audi,강원,개인-남자,50~59,2018,0,0,0,7,1,1,3,4,0,0,0,0,16
Audi,강원,개인-남자,50~59,2019,1,3,3,0,0,0,0,0,2,5,5,4,23
Audi,강원,개인-남자,50~59,2020,0,1,1,3,4,3,2,2,3,2,5,4,30
Audi,강원,개인-남자,50~59,2021,1,7,3,2,0,0,0,0,0,0,0,0,13
Audi,강원,개인-남자,60~69,2018,0,0,0,2,0,3,1,1,0,0,0,0,7
Audi,강원,개인-남자,60~69,2019,0,1,1,0,0,0,0,0,3,5,2,0,12
Audi,강원,개인-남자,60~69,2020,2,0,1,2,2,4,2,2,1,2,4,6,28
Audi,강원,개인-남자,60~69,2021,1,2,2,1,0,0,0,0,0,0,0,0,6
Audi,강원,개인-남자,70~,2018,0,0,0,0,1,0,0,0,0,0,0,0,1
Audi,강원,개인-남자,70~,2019,0,0,0,0,0,0,0,0,1,0,1,1,3
Audi,강원,개인-남자,70~,2020,0,0,1,0,1,1,0,0,0,0,0,2,5
Audi,강원,개인-여자,20~29,2018,0,0,0,1,1,1,2,2,0,0,1,0,8
Audi,강원,개인-여자,20~29,2019,1,0,0,0,0,0,0,0,3,0,0,0,4
Audi,강원,개인-여자,20~29,2020,1,0,0,0,0,0,0,0,0,0,2,0,3
